Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Collection
dualspin-flat-top-carb-cap-20mm-25mm,DualSpin Flat Top Carb Cap – 20mm / 25mm,"<p>Meet the <strong>DualSpin Flat Top Carb Cap</strong>, the ultimate airflow and terp pearl enhancement tool — now in a versatile <strong>dual-size design</strong> that fits <strong>20mm and 25mm flat top bangers</strong>. Whether you're running a micro session or going all-in, this cap gives you vortex precision, rich flavor, and unbeatable compatibility.</p><p>🎯 <strong>Universal Dual-Use Functionality</strong><br>• <strong>Flip to Fit</strong> – Designed for both <strong>20mm</strong> <em>and</em> <strong>25mm</strong> setups.<br>• <strong>Two-in-One Performance</strong> – One cap handles multiple rigs and setups, saving you space, money, and hassle.</p><p>⚡ <strong>Wide Compatibility</strong><br>Seamlessly fits:<br>• <strong>Puffco Proxy</strong><br>• <strong>Puffco Peak, Peak Pro, and Peak 3DXL</strong><br>• <strong>Focus V Carta &amp; Carta 2</strong><br>• <strong>Nearly all other electric rigs and flat-top quartz bangers</strong></p><p>🌪️ <strong>Vortex Spinner Channels</strong><br>Integrated airflow grooves create a <strong>perfect spinning vortex</strong> to keep <strong>terp pearls in motion</strong>, ensuring even heat distribution and full vaporization.</p><p>🎨 <strong>Available Colors:</strong><br>• 💚 Green<br>• 🖤 Black<br>• 💙 Blue<br>• 💜 Purple<br>All with rich, glossy finishes that enhance any setup.</p><p>🛠️ <strong>Built to Perform</strong><br>Crafted from durable, heat-resistant borosilicate glass, the <strong>DualSpin</strong> combines form, function, and adaptability like no other.</p>",Dab Labs,Carb Caps,"Carb Caps, Peak OG, Peak Pro, Proxy",TRUE,,,,200,shopify,10,deny,49.99,TRUE,TRUE,"https://static.wixstatic.com/media/09e6d7_bc1da7755cad497cbb42f581746d92a0~mv2.png/v1/fill/w_800,h_800,al_c,q_85/09e6d7_bc1da7755cad497cbb42f581746d92a0~mv2.png",1,DualSpin Flat Top Carb Cap – 20mm / 25mm,Carb Caps;Peak OG;Peak Pro;Proxy
diamondpeak-opal-3dxl-cap,DiamondPeak Opal 3DXL Cap,"<p><strong>Cut Like a Gem. Spins Like a Dream.</strong></p><p>Meet the <strong>DiamondPeak Opal 3DXL Cap</strong>—a luxurious upgrade crafted for those who demand elegance and function in every session. Designed exclusively for the <strong>Puffco Peak Pro 3DXL chamber</strong>, this <strong>diamond-cut carb cap</strong> fuses sophisticated style with advanced airflow control, giving your setup a true crown jewel feel.</p><p>🔹 <strong>Diamond-Cut Architecture</strong><br>Crafted with a multi-faceted dome that reflects light from every angle—this cap doesn’t just function, it <em>shines</em>.</p><p>🔮 <strong>Encased Natural Opal</strong><br>A shimmering <strong>genuine opal</strong> is embedded inside the crown, creating a mesmerizing focal point that comes alive under light and heat.</p><p>🌀 <strong>3DXL-Compatible Airflow Design</strong><br>• Optimized for <strong>vortex airflow and directional control</strong><br>• Seamlessly fits the 3DXL chamber for <strong>secure magnetic action</strong><br>• Enhances vaporization and efficiency while reducing reclaim</p>",Dab Labs,Carb Caps,"Carb Caps, Peak Pro, Proxy",TRUE,,,,200,shopify,10,deny,39.99,TRUE,TRUE,"https://static.wixstatic.com/media/09e6d7_ecd4610a2007417e8fad40971224da8b~mv2.png/v1/fill/w_800,h_800,al_c,q_85/09e6d7_ecd4610a2007417e8fad40971224da8b~mv2.png",1,DiamondPeak Opal 3DXL Cap,Carb Caps;Peak Pro;Proxy
diamondpeak-opal-3dxl-cap,,,,,,,,,,,,,,,,,"https://static.wixstatic.com/media/09e6d7_38318ea1058c4a28952d92a097f02ee9~mv2.png/v1/fill/w_800,h_800,al_c,q_85/09e6d7_38318ea1058c4a28952d92a097f02ee9~mv2.png",2,DiamondPeak Opal 3DXL Cap,
wigwag-sherlock-for-puffco-proxy,WigWag Sherlock for Puffco Proxy,"<p>Step into the perfect fusion of <strong>heady glass culture</strong> and <strong>high-tech vapor delivery</strong> with the <strong>WigWag Sherlock Glass Attachment</strong> for the <strong>Puffco Proxy</strong>. This eye-catching piece takes the timeless Sherlock pipe shape and elevates it with vibrant <strong>hand-spun wigwag colorwork</strong>, delivering smooth, flavorful hits wrapped in functional artistry.</p><p>🎨 <strong>Heady WigWag Colorwork</strong><br>Each Sherlock is handcrafted using <strong>authentic American wigwag techniques</strong>, resulting in <strong>bold, swirling color patterns</strong> that are as unique as your sessions.</p><p>🔍 <strong>Ergonomic Sherlock Design</strong><br>The curved stem and classic profile aren't just for looks — they enhance the cooling path for vapor and make for a <strong>comfortable, balanced hold</strong>.</p><p>💨 <strong>Made for the Puffco Proxy</strong><br>• Perfect fit for the Proxy base<br>• Easy to install and swap<br>• Built for both performance and aesthetic appeal<br>Available in four striking wigwag colorways</p>",Dab Labs,Glass Tops,"Glass Tops, Limited Edition, Proxy, Limited Edition",TRUE,,,,200,shopify,10,deny,149.99,TRUE,TRUE,"https://static.wixstatic.com/media/09e6d7_3f350302e0c748f7b2eee2d38ba1058b~mv2.png/v1/fill/w_800,h_800,al_c,q_85/09e6d7_3f350302e0c748f7b2eee2d38ba1058b~mv2.png",1,WigWag Sherlock for Puffco Proxy,Glass Tops;Limited Edition;Proxy
wigwag-sherlock-for-puffco-proxy,,,,,,,,,,,,,,,,,"https://static.wixstatic.com/media/09e6d7_8e6bfea531a340598c631c58419bd85a~mv2.png/v1/fill/w_800,h_800,al_c,q_85/09e6d7_8e6bfea531a340598c631c58419bd85a~mv2.png",2,WigWag Sherlock for Puffco Proxy,
wigwag-sherlock-for-puffco-proxy,,,,,,,,,,,,,,,,,"https://static.wixstatic.com/media/09e6d7_dd5a726dd75040c685dc651b7b52ce3b~mv2.png/v1/fill/w_800,h_800,al_c,q_85/09e6d7_dd5a726dd75040c685dc651b7b52ce3b~mv2.png",3,WigWag Sherlock for Puffco Proxy,
wigwag-sherlock-for-puffco-proxy,,,,,,,,,,,,,,,,,"https://static.wixstatic.com/media/09e6d7_36dd2f53f93f412b908613b0a76e9757~mv2.png/v1/fill/w_800,h_800,al_c,q_85/09e6d7_36dd2f53f93f412b908613b0a76e9757~mv2.png",4,WigWag Sherlock for Puffco Proxy,
gemspin-series-lab-grown-ruby-emerald-sapphire,"GemSpin Series – Lab-Grown Ruby, Emerald & Sapphire","<p>Elevate your setup with the <strong>GemSpin Series</strong>, a premium line of <strong>lab-grown gemstone terp pearls</strong> designed for elite dabbers who appreciate both performance and aesthetics. Whether you're chasing clouds or flavor, these <strong>Ruby, Emerald, and Sapphire</strong> terp pearls deliver unmatched heat retention, smooth spinning, and radiant color—all in one polished package.</p><p>🔥 <strong>Why Lab-Grown Gems?</strong><br>These stones aren’t just beautiful—they're <strong>engineered for performance</strong>. Lab-grown gemstones offer superior <strong>thermal conductivity</strong>, <strong>chemical resistance</strong>, and <strong>durability</strong> compared to traditional materials.</p><p>💠 <strong>Available Gemstones:</strong><br>• ❤️ <strong>Ruby</strong> – Superior heat retention and bold red brilliance<br>• 💚 <strong>Emerald</strong> – Balanced performance with a rich green glow<br>• 💙 <strong>Sapphire</strong> – Durable and heat-stable, with deep blue clarity<br>Each pearl is perfectly polished to spin smoothly and consistently inside your banger, maximizing vaporization and enhancing terpene expression.</p><p><strong>Specs:</strong><br>• Material: <strong>Lab-Grown Ruby, Emerald, or Sapphire</strong><br>• Size: 4mm<br>• Use: Compatible with most bangers, e-rigs, and chambers<br>• Heat Resistant, Flavor Neutral, Reusable</p>",Dab Labs,Pearls,"Pearls, Peak Pro, Peak OG, Proxy",TRUE,Colour,Ruby,,200,shopify,10,deny,6.99,TRUE,TRUE,"https://static.wixstatic.com/media/09e6d7_e62f24e6824146cbaaf499fa19505f6a~mv2.png/v1/fill/w_800,h_800,al_c,q_85/09e6d7_e62f24e6824146cbaaf499fa19505f6a~mv2.png",1,"GemSpin Series – Lab-Grown Ruby, Emerald & Sapphire",Pearls;Peak Pro;Peak OG;Proxy
gemspin-series-lab-grown-ruby-emerald-sapphire,,,Dab Labs,Pearls,"Pearls, Peak Pro, Peak OG, Proxy",TRUE,Colour,Sapphire,,200,shopify,10,deny,6.99,TRUE,TRUE,,,,Pearls;Peak Pro;Peak OG;Proxy
gemspin-series-lab-grown-ruby-emerald-sapphire,,,Dab Labs,Pearls,"Pearls, Peak Pro, Peak OG, Proxy",TRUE,Colour,Emerald,,200,shopify,10,deny,6.99,TRUE,TRUE,,,,Pearls;Peak Pro;Peak OG;Proxy
